
 NPM(K)    PM(M)      WS(M)     CPU(s)      Id  SI ProcessName
      0     0.00       0.00       0.00     578 578 com.apple.DriverKit-AppleBCMWLAN
      0     0.00       0.00       0.00     576 576 com.apple.DriverKit-IOUserDockChannelSerial
      0     0.00       2.77       0.09     756 756 com.apple.FaceTime.FTConversationService
      0     0.00       0.00       0.00     543   1 com.apple.geod
      0     0.00       0.00       0.00     587   1 com.apple.geod
      0     0.00      11.42       6.45     708   1 com.apple.geod
      0     0.00       0.00       0.00   19405   1 com.apple.geod
      0     0.00       0.00       0.00     599   1 com.apple.hiservices-xpcservice
      0     0.00       2.56       4.85     652   1 com.apple.hiservices-xpcservice
      0     0.00       0.00       0.00   20661 …61 com.apple.ifdreader
      0     0.00       0.00       0.00    1053 …53 com.apple.MobileInstallationHelperService
      0     0.00       0.00       0.00     864 864 com.apple.MobileSoftwareUpdate.CleanupPreparePath…
      0     0.00      29.89       2.74     684   1 com.apple.quicklook.ThumbnailsAgent
      0     0.00      22.98       0.84   15720   1 com.apple.Safari.History
      0     0.00      29.44      16.85    1174   1 com.apple.Safari.SafeBrowsing.Service
      0     0.00      24.00       0.13   31016 …16 com.apple.Safari.SandboxBroker
      0     0.00      14.36       0.13   31017 …17 com.apple.Safari.SearchHelper
      0     0.00      15.58       2.46    9796 …96 com.apple.SafariPlatformSupport.Helper
      0     0.00      15.22       2.39   13452 …52 com.apple.SafariPlatformSupport.Helper
      0     0.00      15.66       1.60   21881 …81 com.apple.SafariPlatformSupport.Helper
      0     0.00      43.05       0.25   31589 …89 com.apple.SafariPlatformSupport.Helper
      0     0.00      10.28       0.46     626   1 com.apple.sbd
      0     0.00       7.12       6.21    2887 …87 com.apple.siri.embeddedspeech
      0     0.00       0.00       0.00    8355 …55 com.apple.StreamingUnzipService.privileged
      0     0.00       0.77       0.02    1048   1 com.apple.tonelibraryd
      0     0.00      13.66       6.30   18669 …69 com.apple.WebKit.GPU
      0     0.00      50.23       1.83   31015 …15 com.apple.WebKit.GPU
      0     0.00      29.72       0.23   31541 …41 com.apple.WebKit.GPU
      0     0.00       6.41       2.60    9793 …93 com.apple.WebKit.Networking
      0     0.00       4.89       0.97   18670 …70 com.apple.WebKit.Networking
      0     0.00      32.23       6.20   31014 …14 com.apple.WebKit.Networking
      0     0.00      36.39       0.52   31542 …42 com.apple.WebKit.Networking
      0     0.00      10.73      17.90   18671 …71 com.apple.WebKit.WebContent
      0     0.00       0.03       0.69   18835 …35 com.apple.WebKit.WebContent
      0     0.00       0.03       9.61   19502 …02 com.apple.WebKit.WebContent
      0     0.00     510.19      14.51   31019 …19 com.apple.WebKit.WebContent
      0     0.00      46.75       0.09   31023 …23 com.apple.WebKit.WebContent
      0     0.00     237.75       1.23   31544 …44 com.apple.WebKit.WebContent
      0     0.00     308.75       2.28   31545 …45 com.apple.WebKit.WebContent
      0     0.00     258.53       1.60   31546 …46 com.apple.WebKit.WebContent
      0     0.00     135.05       1.32   31548 …48 com.apple.WebKit.WebContent
      0     0.00       0.00       0.00     563 563 com.cisco.anyconnect.macos.acsockext
      0     0.00       0.00       0.00     557 557 com.docker.vmnetd
      0     0.00      11.16       1.61     637   1 CommCenter
      0     0.00       5.56       0.49     822   1 commerce
      0     0.00       9.95       2.01     704   1 communicationtrustd
      0     0.00       0.00       0.00     344 344 configd
      0     0.00      23.27      74.12    1163   1 contactsd
      0     0.00      11.53       3.32   20319   1 contactsdonationagent
      0     0.00       0.00       0.00     565   1 containermanagerd
      0     0.00       0.00       0.00     570   1 containermanagerd
      0     0.00       0.00       0.00     596   1 containermanagerd
      0     0.00       8.41       4.33     636   1 containermanagerd
      0     0.00       0.00       0.00   19409   1 containermanagerd
      0     0.00       0.00       0.00     413 413 containermanagerd_system
      0     0.00       6.11       0.65     760 760 ContainerMetadataExtractor
      0     0.00       7.05       1.31    1162   1 contentlinkingd
      0     0.00      14.12       0.47     742   1 ContextService
      0     0.00       0.00       0.00   18479   1 ContextService
      0     0.00      17.47      35.06     643   1 ContextStoreAgent
      0     0.00       0.00       0.00     371 371 contextstored
      0     0.00       7.36       0.88     622   1 ContinuityCaptureAgent
      0     0.00      62.22     253.57     671   1 ControlCenter
      0     0.00       6.77       0.23   20668 …68 ControlCenterHelper
      0     0.00      32.97      47.59     642   1 ControlStrip
      0     0.00       0.00       0.00     438 438 coreaudiod
